type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload
Role_5,967867.0,1.6453739E7,6775069.0,967867.0,1.4518005E7,9678670.0,3.871468E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,3871468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0
Role_6,5807202.0,1.8389473E7,8710803.0,5807202.0,1.1614404E7,1.11304705E7,4.4521882E7,183212.0,208592.0,193321.0,183212.0,197241.0,195591.5,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,3871468.0,0.18929460349407512,0.2155172146586256,0.19973922036808778,0.18929460349407512,0.20378936362124134,0.20208510053550746,0.8083404021420298,264,8710803.0,208592,967867,0.2155172146586256,68,1.8389473E7,193321,967867,0.19973922036808778,49,5807202.0,183212,967867,0.18929460349407512,76,1.1614404E7,197241,967867,0.20378936362124134
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,
Role_2,1935734.0,1.5485872E7,3871468.0,1935734.0,5807202.0,6775069.0,2.7100276E7,25020.0,26695.0,25103.0,25020.0,25874.0,25673.0,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,3871468.0,0.025850659233138437,0.027581268914014013,0.02593641481732511,0.025850659233138437,0.026733011870432612,0.02652533870872754,0.10610135483491016,177,1.5485872E7,25874,967867,0.026733011870432612,2,1935734.0,25103,967867,0.02593641481732511,238,5807202.0,26695,967867,0.027581268914014013,19,3871468.0,25020,967867,0.025850659233138437
Role_3,0.0,1.8389473E7,1.5485872E7,0.0,1.7421606E7,1.282423775E7,5.1296951E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,3871468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.5485872E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,NOT_SET,0.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,
