type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload,instances_instance_17_id,instances_instance_17_cost,instances_instance_17_time_inUse,instances_instance_17_time_available,instances_instance_17_time_workload
Role_10,1.227639E7,5.26131E7,2.279901E7,1.403016E7,5.26131E7,2.981409E7,2.0869863E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1.227639E7,0.007608181232430706,0.013882664203401814,0.011417688750520308,0.009143730363730706,0.01228040164901897,0.011010402895313687,0.07707282026719581,ID4882,1.578393E7,24347,1753770,0.013882664203401814,ID4872,3.858294E7,21537,1753770,0.01228040164901897,ID0998,1.227639E7,21189,1753770,0.012081971980362306,ID4528,1.403016E7,16036,1753770,0.009143730363730706,ID0420,2.279901E7,20024,1753770,0.011417688750520308,ID3716,5.26131E7,18692,1753770,0.010658182087731002,ID4618,5.26131E7,13343,1753770,0.007608181232430706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,1.227639E7,4.735179E7,1.578393E7,1.403016E7,3.858294E7,2.6014255E7,1.5608553E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1.052262E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.578393E7,0,1753770,0.0,ID4355,2.806032E7,0,1753770,0.0,ID4872,3.858294E7,0,1753770,0.0,ID0998,1.227639E7,0,1753770,0.0,ID4528,1.403016E7,0,1753770,0.0,ID4385,4.735179E7,0,1753770,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,3.682917E7,3.682917E7,3.682917E7,3.682917E7,3.682917E7,3.682917E7,3.682917E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,3.682917E7,0,1753770,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.227639E7,5.26131E7,3.50754E7,1.929147E7,4.384425E7,3.1837670769230768E7,4.1388972E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,2.279901E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,3.682917E7,0,1753770,0.0,ID4219,1.929147E7,0,1753770,0.0,ID3846,4.559802E7,0,1753770,0.0,ID4429,4.384425E7,0,1753770,0.0,ID3718,1.227639E7,0,1753770,0.0,ID4167,5.26131E7,0,1753770,0.0,ID4442,1.403016E7,0,1753770,0.0,ID4794,3.50754E7,0,1753770,0.0,ID4641,4.384425E7,0,1753770,0.0,ID4622,2.806032E7,0,1753770,0.0,ID4799,3.156786E7,0,1753770,0.0,ID4932,1.403016E7,0,1753770,0.0,ID4132,3.682917E7,0,1753770,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,3507540.0,4.384425E7,8768850.0,5261310.0,3.682917E7,1.75377E7,1.227639E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1.227639E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,8768850.0,0,1753770,0.0,ID4873,4.384425E7,0,1753770,0.0,ID0997,3.682917E7,0,1753770,0.0,ID4326,1.75377E7,0,1753770,0.0,ID4140,7015080.0,0,1753770,0.0,ID4162,3507540.0,0,1753770,0.0,ID0937,5261310.0,0,1753770,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,5261310.0,3.858294E7,1.578393E7,1.227639E7,2.455278E7,1.8972602727272727E7,2.0869863E8,70083.0,136440.0,83464.0,73136.0,105507.0,89498.18181818182,984480.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1.929147E7,0.03996134042662379,0.07779811491814777,0.04759118926655149,0.04170216162894792,0.060160112215398825,0.05103188092975808,0.5613506902273389,ID4287,8768850.0,115189,1753770,0.06568079052555352,ID4882,1.578393E7,136440,1753770,0.07779811491814777,ID4355,2.806032E7,70083,1753770,0.03996134042662379,ID4872,3.858294E7,85062,1753770,0.048502369181819736,ID4445,1.578393E7,76125,1753770,0.04340649001864555,ID0998,1.227639E7,73136,1753770,0.04170216162894792,ID4528,1.403016E7,86936,1753770,0.04957092435153983,ID0420,2.279901E7,105507,1753770,0.060160112215398825,ID4163,2.279901E7,71366,1753770,0.04069290727974592,ID4718,2.455278E7,81172,1753770,0.046284290414364486,ID0937,5261310.0,83464,1753770,0.04759118926655149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,5261310.0,5.26131E7,8768850.0,8768850.0,2.279901E7,1.9642224E7,9.821112E7,940364.0,1051106.0,987543.0,947852.0,994833.0,984339.6,4921698.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,8768850.0,0.5361957383237255,0.5993408485719336,0.5630972134316359,0.5404653974010275,0.5672539728698747,0.5612706341196393,2.8063531705981966,ID4287,8768850.0,1051106,1753770,0.5993408485719336,ID4618,5.26131E7,994833,1753770,0.5672539728698747,ID4163,2.279901E7,947852,1753770,0.5404653974010275,ID4493,8768850.0,987543,1753770,0.5630972134316359,ID0937,5261310.0,940364,1753770,0.5361957383237255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,3507540.0,4.910556E7,8768850.0,3507540.0,3.858294E7,2.49912225E7,9.996489E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,7015080.0,0.14163772900665422,0.14163772900665422,0.14163772900665422,0.14163772900665422,0.14163772900665422,0.14163772900665422,0.5665509160266169,ID4820,3507540.0,248400,1753770,0.14163772900665422,ID4291,3.858294E7,248400,1753770,0.14163772900665422,ID4491,4.910556E7,248400,1753770,0.14163772900665422,ID4493,8768850.0,248400,1753770,0.14163772900665422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,5261310.0,5.26131E7,2.279901E7,8768850.0,3.156786E7,2.3032846E7,3.4549269E8,79276.0,173795.0,132430.0,118132.0,138075.0,128526.8,1927902.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,2.630655E7,0.04520319084030403,0.09909794328788837,0.07551161212701779,0.06735888970617585,0.07873039224071572,0.07328600671695833,1.099290100754375,ID0998,1.227639E7,133607,1753770,0.07618273775922726,ID4109,2.981409E7,140671,1753770,0.08021063195287866,ID4528,1.403016E7,133415,1753770,0.07607325932134773,ID4618,5.26131E7,138511,1753770,0.07897899952673383,ID0937,5261310.0,115325,1753770,0.06575833775238486,ID4287,8768850.0,130929,1753770,0.0746557416308866,ID4355,2.806032E7,127991,1753770,0.07298049345125074,ID4872,3.858294E7,119676,1753770,0.06823927881079046,ID4445,1.578393E7,132430,1753770,0.07551161212701779,ID3854,7015080.0,173795,1753770,0.09909794328788837,ID4160,3.156786E7,138075,1753770,0.07873039224071572,ID0420,2.279901E7,118132,1753770,0.06735888970617585,ID4163,2.279901E7,111913,1753770,0.06381281467923387,ID4493,8768850.0,134156,1753770,0.07649577766753907,ID4385,4.735179E7,79276,1753770,0.04520319084030403,,,,,,,,,,,,,,,
Role_8,5261310.0,5.26131E7,2.279901E7,8768850.0,4.910556E7,2.92295E7,2.630655E8,876095.0,944790.0,935164.0,888874.0,940948.0,920027.7777777778,8280250.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1753770.0,1.578393E7,0.49954954184414146,0.5387194443969278,0.5332306972978212,0.506836130165301,0.5365287352389424,0.5246000204004959,4.721400183604463,ID4287,8768850.0,933537,1753770,0.5323029815768316,ID4167,5.26131E7,940948,1753770,0.5365287352389424,ID4955,4.033671E7,888874,1753770,0.506836130165301,ID0420,2.279901E7,876095,1753770,0.49954954184414146,ID4529,4.910556E7,883163,1753770,0.503579716838582,ID4618,5.26131E7,942226,1753770,0.537257451091078,ID4163,2.279901E7,935453,1753770,0.5333954851548378,ID4493,8768850.0,935164,1753770,0.5332306972978212,ID0937,5261310.0,944790,1753770,0.5387194443969278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
