type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload
Role_10,5.8550625E7,1.8401625E8,7.5279375E7,6.6915E7,1.08736875E8,9.8699625E7,4.93498125E8,20721.0,32936.0,27514.0,25872.0,28125.0,27033.6,135168.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0024772920869760144,0.003937652245385937,0.003289426884853919,0.0030931181349473213,0.0033624747814391394,0.003231992826720466,0.01615996413360233,ID4882,7.5279375E7,32936,8364375,0.003937652245385937,ID4872,1.8401625E8,27514,8364375,0.003289426884853919,ID0998,5.8550625E7,25872,8364375,0.0030931181349473213,ID4528,6.6915E7,28125,8364375,0.0033624747814391394,ID0420,1.08736875E8,20721,8364375,0.0024772920869760144
Role_11,6.6915E7,2.25838125E8,1.3383E8,7.5279375E7,1.8401625E8,1.3717575E8,6.8587875E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,7.5279375E7,0,8364375,0.0,ID4355,1.3383E8,0,8364375,0.0,ID4872,1.8401625E8,0,8364375,0.0,ID4528,6.6915E7,0,8364375,0.0,ID4385,2.25838125E8,0,8364375,0.0
Role_22,1.75651875E8,1.75651875E8,1.75651875E8,1.75651875E8,1.75651875E8,1.75651875E8,1.75651875E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,1.75651875E8,0,8364375,0.0,,,,,,,,,,,,,,,,,,,,
Role_17,9.2008125E7,2.1747375E8,1.75651875E8,1.5055875E8,2.09109375E8,1.68960375E8,8.44801875E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4641,2.09109375E8,0,8364375,0.0,ID0997,1.75651875E8,0,8364375,0.0,ID4799,1.5055875E8,0,8364375,0.0,ID4219,9.2008125E7,0,8364375,0.0,ID3846,2.1747375E8,0,8364375,0.0
Role_15,1.672875E7,2.09109375E8,8.364375E7,3.34575E7,1.75651875E8,1.0371825E8,5.1859125E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4873,2.09109375E8,0,8364375,0.0,ID0997,1.75651875E8,0,8364375,0.0,ID4326,8.364375E7,0,8364375,0.0,ID4140,3.34575E7,0,8364375,0.0,ID4162,1.672875E7,0,8364375,0.0
Role_9,5.8550625E7,1.8401625E8,7.5279375E7,6.6915E7,1.08736875E8,9.8699625E7,4.93498125E8,144168.0,290388.0,172056.0,152782.0,228032.0,197485.2,987426.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.017235956063662856,0.034717238287379514,0.020570096390943735,0.018265799895389675,0.027262287977284614,0.02361027572293208,0.11805137861466039,ID4882,7.5279375E7,144168,8364375,0.017235956063662856,ID4872,1.8401625E8,152782,8364375,0.018265799895389675,ID0998,5.8550625E7,228032,8364375,0.027262287977284614,ID4528,6.6915E7,172056,8364375,0.020570096390943735,ID0420,1.08736875E8,290388,8364375,0.034717238287379514
Role_5,2.5093125E7,2.5093125E8,4.1821875E7,4.1821875E7,1.08736875E8,9.3681E7,4.68405E8,924722.0,1103006.0,967329.0,941700.0,984941.0,984339.6,4921698.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.11055482328326982,0.13186950608981543,0.11564868863483524,0.11258462228199956,0.11775428528730479,0.11768238511544497,0.5884119255772249,ID4287,4.1821875E7,1103006,8364375,0.13186950608981543,ID4618,2.5093125E8,984941,8364375,0.11775428528730479,ID4163,1.08736875E8,967329,8364375,0.11564868863483524,ID4493,4.1821875E7,924722,8364375,0.11055482328326982,ID0937,2.5093125E7,941700,8364375,0.11258462228199956
Role_6,1.672875E7,2.342025E8,4.1821875E7,1.672875E7,1.8401625E8,1.1919234375E8,4.76769375E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,3.34575E7,0.029697377269670477,0.029697377269670477,0.029697377269670477,0.029697377269670477,0.029697377269670477,0.029697377269670477,0.11878950907868191,ID4820,1.672875E7,248400,8364375,0.029697377269670477,ID4291,1.8401625E8,248400,8364375,0.029697377269670477,ID4491,2.342025E8,248400,8364375,0.029697377269670477,ID4493,4.1821875E7,248400,8364375,0.029697377269670477,,,,,
Role_7,6.6915E7,2.25838125E8,1.3383E8,7.5279375E7,1.8401625E8,1.3717575E8,6.8587875E8,370962.0,411330.0,393050.0,376496.0,401338.0,390635.2,1953176.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0443502353732347,0.04917641784353284,0.046990958678921016,0.04501185085556303,0.04798182769184787,0.0467022580886199,0.23351129044309948,ID4355,1.3383E8,370962,8364375,0.0443502353732347,ID4872,1.8401625E8,401338,8364375,0.04798182769184787,ID4445,7.5279375E7,376496,8364375,0.04501185085556303,ID4528,6.6915E7,411330,8364375,0.04917641784353284,ID4385,2.25838125E8,393050,8364375,0.046990958678921016
Role_8,4.1821875E7,2.5093125E8,1.08736875E8,4.1821875E7,1.08736875E8,1.1040975E8,5.5204875E8,1589235.0,1688980.0,1683900.0,1653484.0,1686371.0,1660394.0,8301970.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.19000044832997087,0.20192542778151387,0.20131809011432414,0.19768171560935516,0.2016135096764552,0.19850783830232385,0.9925391915116193,ID4287,4.1821875E7,1653484,8364375,0.19768171560935516,ID0420,1.08736875E8,1589235,8364375,0.19000044832997087,ID4618,2.5093125E8,1683900,8364375,0.20131809011432414,ID4163,1.08736875E8,1686371,8364375,0.2016135096764552,ID4493,4.1821875E7,1688980,8364375,0.20192542778151387
Role_2,6.6915E7,2.342025E8,2.09109375E8,1.672875E8,2.09109375E8,1.7732475E8,8.8662375E8,9398645.0,9442056.0,9411051.0,9408076.0,9419457.0,9415857.0,4.7079285E7,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,1.1236517970559665,1.128841784353284,1.1251349921542255,1.124779317044011,1.126139968616902,1.1257095718448777,5.628547859224389,ID4794,1.672875E8,9442056,8364375,1.128841784353284,ID4641,2.09109375E8,9398645,8364375,1.1236517970559665,ID4932,6.6915E7,9411051,8364375,1.1251349921542255,ID4429,2.09109375E8,9408076,8364375,1.124779317044011,ID4529,2.342025E8,9419457,8364375,1.126139968616902
Role_3,2.5093125E7,2.5093125E8,4.1821875E7,4.1821875E7,1.08736875E8,9.3681E7,4.68405E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,4.1821875E7,0,8364375,0.0,ID4618,2.5093125E8,0,8364375,0.0,ID4163,1.08736875E8,0,8364375,0.0,ID4493,4.1821875E7,0,8364375,0.0,ID0937,2.5093125E7,0,8364375,0.0
Role_4,5.8550625E7,1.8401625E8,7.5279375E7,7.5279375E7,1.1710125E8,1.02045375E8,5.10226875E8,79045.0,103743.0,93677.0,93189.0,98423.0,93615.4,468077.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,4.1821875E7,0.009450198012403797,0.012402958977807667,0.011199521781364418,0.011141179107823357,0.011766928192483001,0.011192157214376448,0.05596078607188224,ID4882,7.5279375E7,79045,8364375,0.009450198012403797,ID4872,1.8401625E8,93189,8364375,0.011141179107823357,ID4445,7.5279375E7,103743,8364375,0.012402958977807667,ID0998,5.8550625E7,98423,8364375,0.011766928192483001,ID4718,1.1710125E8,93677,8364375,0.011199521781364418
Role_19,1.3383E8,1.3383E8,1.3383E8,1.3383E8,1.3383E8,1.3383E8,1.3383E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,8364375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID3641,1.3383E8,0,8364375,0.0,,,,,,,,,,,,,,,,,,,,
