type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload
Role_5,967867.0,1.935734E7,1.4518005E7,6775069.0,1.8389473E7,1.2720537714285715E7,8.9043764E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,6775069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,337,1.2582271E7,0,967867,0.0,170,1.8389473E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,5807202.0,1.8389473E7,1.1614404E7,5807202.0,1.8389473E7,1.2444004285714285E7,8.710803E7,97295.0,123113.0,112116.0,103008.0,120272.0,111766.57142857143,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,6775069.0,0.10052517546315765,0.1272003281442595,0.11583822983943041,0.1064278459747052,0.12426500748553262,0.11547720030600427,0.8083404021420298,264,8710803.0,112116,967867,0.11583822983943041,68,1.8389473E7,108593,967867,0.11219826691063958,16,1.8389473E7,120272,967867,0.12426500748553262,49,5807202.0,123113,967867,0.1272003281442595,70,5807202.0,103008,967867,0.1064278459747052,10,1.8389473E7,97295,967867,0.10052517546315765,76,1.1614404E7,117969,967867,0.12188554832430488
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,1935734.0,1.5485872E7,5807202.0,3871468.0,1.3550138E7,7881202.714285715,5.5168419E7,11532.0,17980.0,14911.0,11639.0,16583.0,14670.285714285714,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,6775069.0,0.011914860202899778,0.018576932574413632,0.015406042359125788,0.01202541258251392,0.01713355244057293,0.015157336404987166,0.10610135483491016,341,5807202.0,17980,967867,0.018576932574413632,166,1.3550138E7,15465,967867,0.015978435053576576,177,1.5485872E7,14582,967867,0.015066119621807542,2,1935734.0,16583,967867,0.01713355244057293,238,5807202.0,11639,967867,0.01202541258251392,19,3871468.0,14911,967867,0.015406042359125788,171,8710803.0,11532,967867,0.011914860202899778
Role_3,0.0,1.8389473E7,1.5485872E7,2903601.0,1.8389473E7,1.2029204142857144E7,8.4204429E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,6775069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1.5485872E7,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
