,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,0.0,,,12.0,1.0,[81  0  0  0  0  0],['NOT_SET'],Role 1,,Role_1,,DIGITURNO
1,,11.166666666666666,,,1.0,6.0,[2 1 1 1 1 1],"['2', '271', '600', '330', '250', '392']",Role 2,,Role_2,,TRIAGE
2,,10.0,,,2.0,6.0,[2 1 1 1 1 1],"['3', '457', '489', '83', '326', '523']",Role 3,,Role_3,,INGRESOADMISION
3,,13.5,,,5.0,6.0,[108  67 128  75 131  66],"['16', '451', '27', '203', '23', '20']",Role 4,,Role_4,,Folio
4,,0.0,,,10.0,1.0,[104   0   0   0   0   0],['NOT_SET'],Role 5,,Role_5,,ATENCIONCONSULTA
5,,0.0,,,7.0,1.0,[20  0  0  0  0  0],['NOT_SET'],Role 6,,Role_6,,MUERTEEGRESO
6,,0.0,,,4.0,1.0,[90  0  0  0  0  0],['NOT_SET'],Role 7,,Role_7,,EGRESOADMISION
7,,15.5,,,3.0,6.0,[3 3 3 3 4 3],"['516', '332', '242', '224', '69', '270']",Role 8,,Role_8,,SALIDAEGRESO
8,,0.0,,,11.0,1.0,[91  0  0  0  0  0],['NOT_SET'],Role 9,,Role_9,,SALIDAURGENCIAS
9,,0.0,,,9.0,1.0,[104   0   0   0   0   0],['NOT_SET'],Role 10,,Role_10,,FACTURACIONADMISION
10,,3.0,,,8.0,1.0,[4 0 0 0 0 0],['8'],Role 11,,Role_11,,REGISTROINFURGENCIA
11,,0.0,,,6.0,1.0,[79  0  0  0  0  0],['NOT_SET'],Role 12,,Role_12,,HOSPITALIZACIONADMISION
12,,5.0,,,0.0,1.0,[1 0 0 0 0 0],['476'],Role 13,,Role_13,,ANULACIONADMISION
0,,0.0,0.0,45374.0,,,,NOT_SET,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,11.166666666666666,2.0,788.0,,,,2,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,11.166666666666666,10.0,319.0,,,,271,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,11.166666666666666,6.0,289.0,,,,600,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,11.166666666666666,14.0,196.0,,,,330,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,11.166666666666666,17.0,380.0,,,,250,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,11.166666666666666,18.0,474.0,,,,392,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,10.0,7.0,0.0,,,,3,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,10.0,8.0,0.0,,,,457,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,10.0,16.0,0.0,,,,489,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,10.0,6.0,0.0,,,,83,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,10.0,16.0,0.0,,,,326,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,10.0,7.0,0.0,,,,523,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,13.5,2.0,76224.0,,,,16,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,13.5,18.0,56068.0,,,,451,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,13.5,20.0,230605.0,,,,27,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
16,,13.5,16.0,45474.0,,,,203,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
17,,13.5,7.0,173064.0,,,,23,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
18,,13.5,18.0,110181.0,,,,20,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
19,,0.0,0.0,45374.0,,,,NOT_SET,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
20,,0.0,0.0,45374.0,,,,NOT_SET,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
21,,0.0,0.0,45374.0,,,,NOT_SET,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
22,,15.5,15.0,0.0,,,,516,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
23,,15.5,20.0,0.0,,,,332,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
