type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,
Role_8,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,1.69744E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,8487200.0,0,424360,0.0,617,8487200.0,0,424360,0.0,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,NOT_SET,0.0,75301,424360,0.1774460363842021,,,,,,,,,,,,,,,
Role_2,2970520.0,3819240.0,2970520.0,2970520.0,3819240.0,3394880.0,6789760.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.11914647940427939,0.12125318126119333,0.11914647940427939,0.11914647940427939,0.12125318126119333,0.12019983033273636,0.24039966066547272,322,3819240.0,50561,424360,0.11914647940427939,614,2970520.0,51455,424360,0.12125318126119333,,,,,,,,,,
Role_3,1273080.0,5092320.0,1273080.0,1273080.0,5092320.0,3182700.0,6365400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1273080.0,0,424360,0.0,615,5092320.0,0,424360,0.0,,,,,,,,,,
Role_4,2970520.0,7214120.0,6789760.0,2970520.0,6789760.0,5941040.0,2.376416E7,200703.0,226453.0,210748.0,200703.0,214049.0,212988.25,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,1697440.0,0.47295456687717974,0.5336341785276651,0.49662550664530114,0.47295456687717974,0.5044042793854274,0.5019046328588934,2.0076185314355737,143,2970520.0,200703,424360,0.47295456687717974,200,6789760.0,214049,424360,0.5044042793854274,201,6789760.0,226453,424360,0.5336341785276651,580,7214120.0,210748,424360,0.49662550664530114
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,
