type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1273080.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273080.0,8487200.0,6365400.0,1697440.0,8062840.0,5357545.0,4.286036E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,3394880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,6365400.0,0,424360,0.0,332,8487200.0,0,424360,0.0,69,8062840.0,0,424360,0.0,224,8487200.0,0,424360,0.0,81,1273080.0,0,424360,0.0,516,6365400.0,0,424360,0.0,270,1697440.0,0,424360,0.0,296,2121800.0,0,424360,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,848720.0,6365400.0,2970520.0,1697440.0,3819240.0,3235745.0,2.588596E7,9590.0,15524.0,12261.0,12107.0,13492.0,12752.0,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,3394880.0,0.02259873692148176,0.03658214723348101,0.028892921104722406,0.02853002167970591,0.03179376001508154,0.030049957583184086,0.2403996606654727,540,2970520.0,14429,424360,0.034001790932227355,2,848720.0,15524,424360,0.03658214723348101,574,3819240.0,12196,424360,0.02873974926948817,322,3819240.0,12107,424360,0.02853002167970591,312,2546160.0,12417,424360,0.02926053350928457,434,1697440.0,13492,424360,0.03179376001508154,547,6365400.0,12261,424360,0.028892921104722406,602,3819240.0,9590,424360,0.02259873692148176
Role_2,424360.0,8487200.0,2970520.0,1697440.0,7638480.0,4561870.0,3.649496E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,3394880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5516680.0,0,424360,0.0,3,2970520.0,0,424360,0.0,438,7638480.0,0,424360,0.0,526,7638480.0,0,424360,0.0,219,1697440.0,0,424360,0.0,272,2121800.0,0,424360,0.0,409,8487200.0,0,424360,0.0,384,424360.0,0,424360,0.0
Role_3,848720.0,8487200.0,6789760.0,2970520.0,7638480.0,6047130.0,4.837704E7,96283.0,122006.0,104116.0,101210.0,105969.0,106494.125,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,3394880.0,0.22688990479781318,0.2875058912244321,0.2453482891884249,0.2385003299085682,0.24971486473748705,0.2509523164294467,2.0076185314355737,451,7638480.0,105969,424360,0.24971486473748705,23,2970520.0,104584,424360,0.24645112640211142,35,7214120.0,104116,424360,0.2453482891884249,16,848720.0,101971,424360,0.24029361862569518,203,6789760.0,122006,424360,0.2875058912244321,27,8487200.0,96283,424360,0.22688990479781318,29,6789760.0,101210,424360,0.2385003299085682,20,7638480.0,115814,424360,0.27291450655104155
