type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1185624.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1185624.0,7904160.0,5928120.0,1976040.0,7508952.0,4654672.0,4.1892048E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3556872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,5928120.0,0,395208,0.0,332,7904160.0,0,395208,0.0,69,7508952.0,0,395208,0.0,224,7904160.0,0,395208,0.0,303,1976040.0,0,395208,0.0,81,1185624.0,0,395208,0.0,516,5928120.0,0,395208,0.0,270,1580832.0,0,395208,0.0,296,1976040.0,0,395208,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,790416.0,7113744.0,3556872.0,2371248.0,3556872.0,3469048.0,3.1221432E7,8466.0,12875.0,11806.0,11360.0,11859.0,11335.111111111111,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3556872.0,0.02142163114107002,0.03257778182627882,0.029872877067265845,0.02874435740167203,0.030006983664298294,0.02868138071878887,0.25813242646909984,540,2766456.0,11903,395208,0.030118317442966742,2,790416.0,8466,395208,0.02142163114107002,574,3556872.0,11816,395208,0.0298981801987814,322,3556872.0,11806,395208,0.029872877067265845,312,2371248.0,11859,395208,0.030006983664298294,434,1580832.0,11360,395208,0.02874435740167203,547,5928120.0,10211,395208,0.025837027590534606,602,3556872.0,11720,395208,0.02965527013623206,381,7113744.0,12875,395208,0.03257778182627882
Role_2,395208.0,7904160.0,5137704.0,1976040.0,7113744.0,4479024.0,4.0311216E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3556872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5137704.0,0,395208,0.0,3,2766456.0,0,395208,0.0,612,6323328.0,0,395208,0.0,438,7113744.0,0,395208,0.0,526,7113744.0,0,395208,0.0,219,1580832.0,0,395208,0.0,272,1976040.0,0,395208,0.0,409,7904160.0,0,395208,0.0,384,395208.0,0,395208,0.0
Role_3,790416.0,7904160.0,6323328.0,3952080.0,7113744.0,5445088.0,4.9005792E7,82542.0,122387.0,98379.0,93856.0,103787.0,99587.22222222222,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3556872.0,0.20885710815570535,0.30967743567943967,0.24892967753689196,0.23748507115240583,0.26261361106050485,0.25198685811578264,2.2678817230420436,451,7113744.0,99122,395208,0.2508097002084978,23,2766456.0,93856,395208,0.23748507115240583,34,3952080.0,82542,395208,0.20885710815570535,35,6718536.0,122387,395208,0.30967743567943967,16,790416.0,103787,395208,0.26261361106050485,203,6323328.0,92373,395208,0.2337326167486488,27,7904160.0,98379,395208,0.24892967753689196,29,6323328.0,109554,395208,0.2772059270055262,20,7113744.0,94285,395208,0.23857057549442318
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
