type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload,instances_instance_17_id,instances_instance_17_cost,instances_instance_17_time_inUse,instances_instance_17_time_available,instances_instance_17_time_workload,instances_instance_18_id,instances_instance_18_cost,instances_instance_18_time_inUse,instances_instance_18_time_available,instances_instance_18_time_workload,instances_instance_19_id,instances_instance_19_cost,instances_instance_19_time_inUse,instances_instance_19_time_available,instances_instance_19_time_workload,instances_instance_20_id,instances_instance_20_cost,instances_instance_20_time_inUse,instances_instance_20_time_available,instances_instance_20_time_workload
Role_10,2.3229612E7,9.955548E7,4.3140708E7,2.6548128E7,9.955548E7,5.6414772E7,3.94903404E8,16036.0,21537.0,20024.0,17340.0,21189.0,19309.714285714286,135168.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,2.3229612E7,0.0048322804530699865,0.006489949121836387,0.006034022436534885,0.005225227179859913,0.006385082970821897,0.005818779926242419,0.040731459483696934,ID4882,2.9866644E7,17340,3318516,0.005225227179859913,ID4872,7.3007352E7,21537,3318516,0.006489949121836387,ID0998,2.3229612E7,21189,3318516,0.006385082970821897,ID4528,2.6548128E7,16036,3318516,0.0048322804530699865,ID0420,4.3140708E7,20024,3318516,0.006034022436534885,ID3716,9.955548E7,18692,3318516,0.0056326382033414935,ID4618,9.955548E7,20350,3318516,0.006132259118232367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,2.3229612E7,8.9599932E7,2.9866644E7,2.6548128E7,7.3007352E7,4.9224654E7,2.95347924E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,1.9911096E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.9866644E7,0,3318516,0.0,ID4355,5.3096256E7,0,3318516,0.0,ID4872,7.3007352E7,0,3318516,0.0,ID0998,2.3229612E7,0,3318516,0.0,ID4528,2.6548128E7,0,3318516,0.0,ID4385,8.9599932E7,0,3318516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,6.9688836E7,6.9688836E7,6.9688836E7,6.9688836E7,6.9688836E7,6.9688836E7,6.9688836E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.9688836E7,0,3318516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.3229612E7,9.955548E7,6.637032E7,3.6503676E7,8.29629E7,6.024382892307692E7,7.83169776E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,4.3140708E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,6.9688836E7,0,3318516,0.0,ID4219,3.6503676E7,0,3318516,0.0,ID3846,8.6281416E7,0,3318516,0.0,ID4429,8.29629E7,0,3318516,0.0,ID3718,2.3229612E7,0,3318516,0.0,ID4167,9.955548E7,0,3318516,0.0,ID4442,2.6548128E7,0,3318516,0.0,ID4794,6.637032E7,0,3318516,0.0,ID4641,8.29629E7,0,3318516,0.0,ID4622,5.3096256E7,0,3318516,0.0,ID4799,5.9733288E7,0,3318516,0.0,ID4932,2.6548128E7,0,3318516,0.0,ID4132,6.9688836E7,0,3318516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,6637032.0,8.29629E7,1.659258E7,9955548.0,6.9688836E7,3.318516E7,2.3229612E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,2.3229612E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.659258E7,0,3318516,0.0,ID4873,8.29629E7,0,3318516,0.0,ID0997,6.9688836E7,0,3318516,0.0,ID4326,3.318516E7,0,3318516,0.0,ID4140,1.3274064E7,0,3318516,0.0,ID4162,6637032.0,0,3318516,0.0,ID0937,9955548.0,0,3318516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,9955548.0,7.3007352E7,2.9866644E7,2.3229612E7,4.6459224E7,3.590030945454545E7,3.94903404E8,71366.0,139877.0,83464.0,74863.0,105507.0,90326.18181818182,993588.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3.6503676E7,0.021505395785345015,0.042150467257051044,0.025151001230670576,0.022559180067234872,0.03179342814679815,0.02721884776755086,0.2994073254430595,ID4287,1.659258E7,115189,3318516,0.03471099732531047,ID4882,2.9866644E7,139877,3318516,0.042150467257051044,ID4355,5.3096256E7,74863,3318516,0.022559180067234872,ID4872,7.3007352E7,85062,3318516,0.02563254177469688,ID4445,2.9866644E7,78850,3318516,0.02376062071118536,ID0998,2.3229612E7,73136,3318516,0.022038766725849746,ID4528,2.6548128E7,82456,3318516,0.02484725100014585,ID0420,4.3140708E7,105507,3318516,0.03179342814679815,ID4163,4.3140708E7,71366,3318516,0.021505395785345015,ID4718,4.6459224E7,83818,3318516,0.025257675418771525,ID0937,9955548.0,83464,3318516,0.025151001230670576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,9955548.0,9.955548E7,1.659258E7,1.659258E7,4.3140708E7,3.71673792E7,1.85836896E8,976945.0,1009918.0,989112.0,980972.0,991515.0,989692.4,4948462.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,1.659258E7,0.29439213190474295,0.30432819971336583,0.2980585297765628,0.2956056261292698,0.2987826486296887,0.298233427230726,1.49116713615363,ID4287,1.659258E7,976945,3318516,0.29439213190474295,ID4618,9.955548E7,1009918,3318516,0.30432819971336583,ID4163,4.3140708E7,989112,3318516,0.2980585297765628,ID4493,1.659258E7,991515,3318516,0.2987826486296887,ID0937,9955548.0,980972,3318516,0.2956056261292698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,6637032.0,9.2918448E7,1.659258E7,6637032.0,7.3007352E7,4.7288853E7,1.89155412E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,1.3274064E7,0.0748527353793081,0.0748527353793081,0.0748527353793081,0.0748527353793081,0.0748527353793081,0.0748527353793081,0.2994109415172324,ID4820,6637032.0,248400,3318516,0.0748527353793081,ID4291,7.3007352E7,248400,3318516,0.0748527353793081,ID4491,9.2918448E7,248400,3318516,0.0748527353793081,ID4493,1.659258E7,248400,3318516,0.0748527353793081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,9955548.0,9.955548E7,4.3140708E7,1.659258E7,5.9733288E7,4.35831768E7,6.53747652E8,79276.0,173795.0,132430.0,125780.0,142283.0,131455.26666666666,1971829.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,4.977774E7,0.023888991344323787,0.05237130090679087,0.039906391893243846,0.03790248412242098,0.04287549012872019,0.03961266622389847,0.594189993358477,ID0998,2.3229612E7,133607,3318516,0.04026106850170377,ID4109,5.6414772E7,144430,3318516,0.043522466066157284,ID4528,2.6548128E7,125780,3318516,0.03790248412242098,ID4618,9.955548E7,126625,3318516,0.038157116012096974,ID0937,9955548.0,127691,3318516,0.03847834393445745,ID4287,1.659258E7,143837,3318516,0.043343771734112475,ID4355,5.3096256E7,137863,3318516,0.041543569475030406,ID4872,7.3007352E7,119676,3318516,0.03606310772646568,ID4445,2.9866644E7,132430,3318516,0.039906391893243846,ID3854,1.3274064E7,173795,3318516,0.05237130090679087,ID4160,5.9733288E7,138075,3318516,0.04160745345208521,ID0420,4.3140708E7,126913,3318516,0.0382439017922469,ID4163,4.3140708E7,119548,3318516,0.036024536268621274,ID4493,1.659258E7,142283,3318516,0.04287549012872019,ID4385,8.9599932E7,79276,3318516,0.023888991344323787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,9955548.0,9.955548E7,4.3140708E7,1.659258E7,9.2918448E7,5.53086E7,4.977774E8,870636.0,949723.0,935601.0,926487.0,944430.0,929296.2222222222,8363666.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,3318516.0,2.9866644E7,0.2623570294673884,0.28618906764348884,0.28193355102099854,0.2791871426866708,0.28459407759371963,0.2800336723469835,2.5203030511228515,ID4287,1.659258E7,938344,3318516,0.28276012530902367,ID4167,9.955548E7,947495,3318516,0.28551768320538456,ID4955,7.6325868E7,923000,3318516,0.278136371799925,ID0420,4.3140708E7,870636,3318516,0.2623570294673884,ID4529,9.2918448E7,927950,3318516,0.2796280023962518,ID4618,9.955548E7,949723,3318516,0.28618906764348884,ID4163,4.3140708E7,935601,3318516,0.28193355102099854,ID4493,1.659258E7,926487,3318516,0.2791871426866708,ID0937,9955548.0,944430,3318516,0.28459407759371963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
