type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload
Role_10,3.2214056E7,1.3806024E8,4.1418072E7,3.6816064E7,1.01244176E8,6.826311866666667E7,4.09578712E8,20263.0,24899.0,22067.0,21594.0,23493.0,22528.0,135168.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.0044030779607510465,0.005410464301670054,0.004795080756052575,0.004692299535333272,0.0051049454933585516,0.004895254419375194,0.029371526516251165,ID4882,4.1418072E7,24899,4602008,0.005410464301670054,ID4872,1.01244176E8,22067,4602008,0.004795080756052575,ID0998,3.2214056E7,23493,4602008,0.0051049454933585516,ID4528,3.6816064E7,21594,4602008,0.004692299535333272,ID0420,5.9826104E7,20263,4602008,0.0044030779607510465,ID4618,1.3806024E8,22852,4602008,0.004965658469085668
Role_11,3.2214056E7,1.24254216E8,4.1418072E7,3.6816064E7,1.01244176E8,6.826311866666667E7,4.09578712E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,4.1418072E7,0,4602008,0.0,ID4355,7.3632128E7,0,4602008,0.0,ID4872,1.01244176E8,0,4602008,0.0,ID0998,3.2214056E7,0,4602008,0.0,ID4528,3.6816064E7,0,4602008,0.0,ID4385,1.24254216E8,0,4602008,0.0
Role_22,9.6642168E7,9.6642168E7,9.6642168E7,9.6642168E7,9.6642168E7,9.6642168E7,9.6642168E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,9.6642168E7,0,4602008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.6816064E7,1.19652208E8,8.2836144E7,5.0622088E7,1.150502E8,8.360314533333333E7,5.01618872E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4641,1.150502E8,0,4602008,0.0,ID0997,9.6642168E7,0,4602008,0.0,ID4799,8.2836144E7,0,4602008,0.0,ID4932,3.6816064E7,0,4602008,0.0,ID4219,5.0622088E7,0,4602008,0.0,ID3846,1.19652208E8,0,4602008,0.0
Role_15,9204016.0,1.150502E8,1.8408032E7,1.3806024E7,9.6642168E7,4.9855086666666664E7,2.9913052E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4873,1.150502E8,0,4602008,0.0,ID0997,9.6642168E7,0,4602008,0.0,ID4326,4.602008E7,0,4602008,0.0,ID4140,1.8408032E7,0,4602008,0.0,ID4162,9204016.0,0,4602008,0.0,ID0937,1.3806024E7,0,4602008,0.0
Role_9,3.2214056E7,1.01244176E8,4.1418072E7,3.6816064E7,7.3632128E7,5.75251E7,3.451506E8,139140.0,209032.0,152334.0,144414.0,186490.0,164080.0,984480.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.030234628014553646,0.0454219114786415,0.033101637372207955,0.031380649490396366,0.04052361490897017,0.03565400147066237,0.21392400882397422,ID4882,4.1418072E7,152334,4602008,0.033101637372207955,ID4355,7.3632128E7,209032,4602008,0.0454219114786415,ID4872,1.01244176E8,186490,4602008,0.04052361490897017,ID0998,3.2214056E7,139140,4602008,0.030234628014553646,ID4528,3.6816064E7,144414,4602008,0.031380649490396366,ID0420,5.9826104E7,153070,4602008,0.03326156755920459
Role_5,1.3806024E7,1.3806024E8,2.301004E7,2.301004E7,5.9826104E7,5.15424896E7,2.57712448E8,948824.0,1039943.0,972893.0,949377.0,1010661.0,984339.6,4921698.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.301004E7,0.20617608661262649,0.225975921814999,0.21140619486102588,0.20629625154932368,0.21961304717419006,0.21389350040243302,1.0694675020121651,ID4287,2.301004E7,1010661,4602008,0.21961304717419006,ID4618,1.3806024E8,972893,4602008,0.21140619486102588,ID4163,5.9826104E7,949377,4602008,0.20629625154932368,ID4493,2.301004E7,1039943,4602008,0.225975921814999,ID0937,1.3806024E7,948824,4602008,0.20617608661262649,,,,,
Role_6,9204016.0,1.28856224E8,2.301004E7,9204016.0,1.01244176E8,6.5578614E7,2.62314456E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,1.8408032E7,0.05397643811136356,0.05397643811136356,0.05397643811136356,0.05397643811136356,0.05397643811136356,0.05397643811136356,0.21590575244545424,ID4820,9204016.0,248400,4602008,0.05397643811136356,ID4291,1.01244176E8,248400,4602008,0.05397643811136356,ID4491,1.28856224E8,248400,4602008,0.05397643811136356,ID4493,2.301004E7,248400,4602008,0.05397643811136356,,,,,,,,,,
Role_7,3.6816064E7,1.24254216E8,5.9826104E7,4.1418072E7,1.01244176E8,7.286512666666667E7,4.3719076E8,277444.0,350159.0,320224.0,308191.0,341435.0,321317.0,1927902.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.06028759619713829,0.07608830753879611,0.06958353831631757,0.06696881013679246,0.07419261331140667,0.06982104333586557,0.4189262600151934,ID4355,7.3632128E7,341435,4602008,0.07419261331140667,ID4872,1.01244176E8,330449,4602008,0.07180539451474226,ID4445,4.1418072E7,350159,4602008,0.07608830753879611,ID4528,3.6816064E7,320224,4602008,0.06958353831631757,ID0420,5.9826104E7,277444,4602008,0.06028759619713829,ID4385,1.24254216E8,308191,4602008,0.06696881013679246
Role_8,1.3806024E7,1.3806024E8,2.301004E7,2.301004E7,5.9826104E7,5.2923092E7,3.17538552E8,1356486.0,1426107.0,1367102.0,1357006.0,1406173.0,1380041.6666666667,8280250.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.2947595918998837,0.30988798802609646,0.29706641101015036,0.29487258605374,0.3055564005973045,0.299878154637425,1.79926892782455,ID4287,2.301004E7,1426107,4602008,0.30988798802609646,ID0420,5.9826104E7,1367102,4602008,0.29706641101015036,ID4618,1.3806024E8,1406173,4602008,0.3055564005973045,ID4163,5.9826104E7,1367376,4602008,0.29712595023737465,ID4493,2.301004E7,1356486,4602008,0.2947595918998837,ID0937,1.3806024E7,1357006,4602008,0.29487258605374
Role_2,3.6816064E7,1.3806024E8,1.150502E8,9.204016E7,1.28856224E8,1.0431218133333333E8,6.25873088E8,7823962.0,7878343.0,7840814.0,7829281.0,7865981.0,7846547.5,4.7079285E7,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,1.7001191653730285,1.7119359636054523,1.703781045143772,1.7012749651891088,1.709249744893968,1.7050269143382628,10.230161486029576,ID4167,1.3806024E8,7829281,4602008,1.7012749651891088,ID4794,9.204016E7,7840814,4602008,1.703781045143772,ID4641,1.150502E8,7840904,4602008,1.703800601824247,ID4932,3.6816064E7,7823962,4602008,1.7001191653730285,ID4429,1.150502E8,7878343,4602008,1.7119359636054523,ID4529,1.28856224E8,7865981,4602008,1.709249744893968
Role_3,1.3806024E7,1.3806024E8,2.301004E7,2.301004E7,5.9826104E7,5.15424896E7,2.57712448E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.301004E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,2.301004E7,0,4602008,0.0,ID4618,1.3806024E8,0,4602008,0.0,ID4163,5.9826104E7,0,4602008,0.0,ID4493,2.301004E7,0,4602008,0.0,ID0937,1.3806024E7,0,4602008,0.0,,,,,
Role_4,3.2214056E7,1.01244176E8,4.1418072E7,4.1418072E7,7.3632128E7,5.9059102666666664E7,3.54354616E8,65515.0,94049.0,71013.0,70087.0,83690.0,76899.83333333333,461399.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,2.7612048E7,0.014236176903647278,0.02043651380006293,0.015430872784228103,0.01522965627178397,0.018185539877375267,0.016710060767676487,0.10026036460605892,ID4882,4.1418072E7,94049,4602008,0.02043651380006293,ID4355,7.3632128E7,83690,4602008,0.018185539877375267,ID4872,1.01244176E8,70087,4602008,0.01522965627178397,ID4445,4.1418072E7,77045,4602008,0.016741604968961377,ID0998,3.2214056E7,71013,4602008,0.015430872784228103,ID4718,6.4428112E7,65515,4602008,0.014236176903647278
Role_19,7.3632128E7,7.3632128E7,7.3632128E7,7.3632128E7,7.3632128E7,7.3632128E7,7.3632128E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,4602008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID3641,7.3632128E7,0,4602008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
