type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_13,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1185624.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_6,1185624.0,7904160.0,5928120.0,5928120.0,7508952.0,5690995.2,2.8454976E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1976040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,5928120.0,0,395208,0.0,69,7508952.0,0,395208,0.0,224,7904160.0,0,395208,0.0,81,1185624.0,0,395208,0.0,516,5928120.0,0,395208,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_1,790416.0,5928120.0,2371248.0,1580832.0,2766456.0,2687414.4,1.3437072E7,18231.0,22229.0,20362.0,19474.0,21720.0,20403.2,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1976040.0,0.04613013906601081,0.05624633104593024,0.05152223639197587,0.04927531831339447,0.054958401651788426,0.05162648529381997,0.25813242646909984,540,2766456.0,19474,395208,0.04927531831339447,2,790416.0,21720,395208,0.054958401651788426,312,2371248.0,18231,395208,0.04613013906601081,434,1580832.0,20362,395208,0.05152223639197587,547,5928120.0,22229,395208,0.05624633104593024
Role_2,395208.0,7113744.0,5137704.0,2766456.0,7113744.0,4505371.2,2.2526856E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1976040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5137704.0,0,395208,0.0,3,2766456.0,0,395208,0.0,438,7113744.0,0,395208,0.0,526,7113744.0,0,395208,0.0,384,395208.0,0,395208,0.0
Role_3,790416.0,7904160.0,6323328.0,2766456.0,7113744.0,4979620.8,2.4898104E7,167055.0,193473.0,181834.0,171219.0,182704.0,179257.0,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1976040.0,0.4227014635331269,0.48954727637092366,0.4600969615999676,0.4332376874962045,0.462298334041821,0.45357634460840873,2.2678817230420436,451,7113744.0,167055,395208,0.4227014635331269,23,2766456.0,171219,395208,0.4332376874962045,16,790416.0,181834,395208,0.4600969615999676,203,6323328.0,193473,395208,0.48954727637092366,27,7904160.0,182704,395208,0.462298334041821
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,,,,,,
