type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1273080.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273080.0,8487200.0,6365400.0,1697440.0,8062840.0,5375226.666666667,3.225136E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2546160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,6365400.0,0,424360,0.0,69,8062840.0,0,424360,0.0,224,8487200.0,0,424360,0.0,81,1273080.0,0,424360,0.0,516,6365400.0,0,424360,0.0,270,1697440.0,0,424360,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,848720.0,6365400.0,2546160.0,1697440.0,3819240.0,3041246.6666666665,1.824748E7,14835.0,18561.0,16504.0,16169.0,18430.0,17002.666666666668,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2546160.0,0.03495852577999811,0.04373880667357904,0.038891507210858704,0.03810208313695919,0.04343010651333773,0.04006661011091212,0.24039966066547272,540,2970520.0,16504,424360,0.038891507210858704,2,848720.0,14835,424360,0.03495852577999811,574,3819240.0,17517,424360,0.04127863135073994,312,2546160.0,18430,424360,0.04343010651333773,434,1697440.0,16169,424360,0.03810208313695919,547,6365400.0,18561,424360,0.04373880667357904
Role_2,424360.0,7638480.0,2970520.0,1697440.0,7638480.0,4314326.666666667,2.588596E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2546160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5516680.0,0,424360,0.0,3,2970520.0,0,424360,0.0,438,7638480.0,0,424360,0.0,526,7638480.0,0,424360,0.0,219,1697440.0,0,424360,0.0,384,424360.0,0,424360,0.0
Role_3,848720.0,8487200.0,6789760.0,2970520.0,7638480.0,5587406.666666667,3.352444E7,123799.0,159625.0,145585.0,130042.0,146975.0,141992.16666666666,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2546160.0,0.2917310773871241,0.37615467998868884,0.3430695635780941,0.3064426430389292,0.34634508436233385,0.33460308857259563,2.0076185314355737,451,7638480.0,123799,424360,0.2917310773871241,23,2970520.0,159625,424360,0.37615467998868884,16,848720.0,145927,424360,0.34387548308040344,203,6789760.0,130042,424360,0.3064426430389292,27,8487200.0,145585,424360,0.3430695635780941,29,6789760.0,146975,424360,0.34634508436233385
