type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload
Role_10,2.21634E7,9.4986E7,4.11606E7,2.53296E7,9.4986E7,5.38254E7,3.767778E8,13343.0,24347.0,20024.0,16036.0,21189.0,19309.714285714286,135168.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,2.21634E7,0.004214199987366559,0.007689659528772661,0.006324300423220264,0.005064746383677594,0.0066922493841197654,0.006098703267549202,0.042690922872844414,ID4882,2.84958E7,24347,3166200,0.007689659528772661,ID4872,6.96564E7,20248,3166200,0.006395047691238709,ID0998,2.21634E7,21189,3166200,0.0066922493841197654,ID4528,2.53296E7,16036,3166200,0.005064746383677594,ID0420,4.11606E7,20024,3166200,0.006324300423220264,ID3716,9.4986E7,19981,3166200,0.006310719474448866,ID4618,9.4986E7,13343,3166200,0.004214199987366559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,2.21634E7,8.54874E7,2.84958E7,2.53296E7,6.96564E7,4.69653E7,2.817918E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,1.89972E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,2.84958E7,0,3166200,0.0,ID4355,5.06592E7,0,3166200,0.0,ID4872,6.96564E7,0,3166200,0.0,ID0998,2.21634E7,0,3166200,0.0,ID4528,2.53296E7,0,3166200,0.0,ID4385,8.54874E7,0,3166200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,6.64902E7,6.64902E7,6.64902E7,6.64902E7,6.64902E7,6.64902E7,6.64902E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,6.64902E7,0,3166200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,2.21634E7,9.4986E7,6.3324E7,3.48282E7,7.9155E7,5.7478707692307696E7,7.472232E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,4.11606E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,6.64902E7,0,3166200,0.0,ID4219,3.48282E7,0,3166200,0.0,ID3846,8.23212E7,0,3166200,0.0,ID4429,7.9155E7,0,3166200,0.0,ID3718,2.21634E7,0,3166200,0.0,ID4167,9.4986E7,0,3166200,0.0,ID4442,2.53296E7,0,3166200,0.0,ID4794,6.3324E7,0,3166200,0.0,ID4641,7.9155E7,0,3166200,0.0,ID4622,5.06592E7,0,3166200,0.0,ID4799,5.69916E7,0,3166200,0.0,ID4932,2.53296E7,0,3166200,0.0,ID4132,6.64902E7,0,3166200,0.0,,,,,
Role_15,6332400.0,7.9155E7,1.5831E7,9498600.0,6.64902E7,3.1662E7,2.21634E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,2.21634E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,1.5831E7,0,3166200,0.0,ID4873,7.9155E7,0,3166200,0.0,ID0997,6.64902E7,0,3166200,0.0,ID4326,3.1662E7,0,3166200,0.0,ID4140,1.26648E7,0,3166200,0.0,ID4162,6332400.0,0,3166200,0.0,ID0937,9498600.0,0,3166200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,9498600.0,6.96564E7,2.84958E7,2.21634E7,4.43268E7,3.425252727272727E7,3.767778E8,71366.0,115521.0,85062.0,80374.0,98647.0,89766.0,987426.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3.48282E7,0.022539953256269344,0.03648569262838734,0.026865643357968542,0.025385004105868234,0.031156275661676457,0.028351335986355884,0.3118646958499147,ID4287,1.5831E7,115189,3166200,0.03638083507043143,ID4882,2.84958E7,115521,3166200,0.03648569262838734,ID4355,5.06592E7,98647,3166200,0.031156275661676457,ID4872,6.96564E7,85062,3166200,0.026865643357968542,ID4445,2.84958E7,80374,3166200,0.025385004105868234,ID0998,2.21634E7,73136,3166200,0.023098983008022236,ID4528,2.53296E7,81873,3166200,0.025858442296759522,ID0420,4.11606E7,92883,3166200,0.02933579685427326,ID4163,4.11606E7,71366,3166200,0.022539953256269344,ID4718,4.43268E7,89911,3166200,0.02839713220895711,ID0937,9498600.0,83464,3166200,0.026360937401301243,,,,,,,,,,,,,,,
Role_5,9498600.0,9.4986E7,1.5831E7,1.5831E7,4.11606E7,3.546144E7,1.773072E8,914941.0,1025395.0,992702.0,967552.0,1021108.0,984339.6,4921698.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,1.5831E7,0.2889713220895711,0.32385667361505904,0.3135310466805635,0.3055877708293854,0.3225026846061525,0.3108898995641463,1.5544494978207315,ID4287,1.5831E7,1025395,3166200,0.32385667361505904,ID4618,9.4986E7,967552,3166200,0.3055877708293854,ID4163,4.11606E7,992702,3166200,0.3135310466805635,ID4493,1.5831E7,1021108,3166200,0.3225026846061525,ID0937,9498600.0,914941,3166200,0.2889713220895711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,6332400.0,8.86536E7,1.5831E7,6332400.0,6.96564E7,4.511835E7,1.804734E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,1.26648E7,0.07845366685616828,0.07845366685616828,0.07845366685616828,0.07845366685616828,0.07845366685616828,0.07845366685616828,0.3138146674246731,ID4820,6332400.0,248400,3166200,0.07845366685616828,ID4291,6.96564E7,248400,3166200,0.07845366685616828,ID4491,8.86536E7,248400,3166200,0.07845366685616828,ID4493,1.5831E7,248400,3166200,0.07845366685616828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,9498600.0,9.4986E7,4.11606E7,1.5831E7,5.69916E7,4.296985714285714E7,6.01578E8,101022.0,169305.0,141341.0,133748.0,147103.0,139512.57142857142,1953176.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,4.43268E7,0.03190638620428274,0.05347261701724464,0.044640578611584866,0.042242435727370346,0.04646042574695218,0.044063095012498076,0.6168833301749731,ID4109,5.38254E7,157341,3166200,0.04969395489861664,ID4528,2.53296E7,146933,3166200,0.04640673362390247,ID4618,9.4986E7,153390,3166200,0.04844608679173773,ID0937,9498600.0,101022,3166200,0.03190638620428274,ID4287,1.5831E7,134569,3166200,0.042501737098098666,ID4355,5.06592E7,141620,3166200,0.04472869686058998,ID4872,6.96564E7,133570,3166200,0.04218621691617712,ID4445,2.84958E7,133748,3166200,0.042242435727370346,ID3854,1.26648E7,144215,3166200,0.04554829132714295,ID4160,5.69916E7,140780,3166200,0.04446339460552081,ID0420,4.11606E7,169305,3166200,0.05347261701724464,ID4163,4.11606E7,141341,3166200,0.044640578611584866,ID4493,1.5831E7,147103,3166200,0.04646042574695218,ID4385,8.54874E7,108239,3166200,0.034185774745752004
Role_8,9498600.0,9.4986E7,4.11606E7,1.5831E7,8.86536E7,5.277E7,4.7493E8,892138.0,960798.0,914706.0,899423.0,952560.0,922441.1111111111,8301970.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,3166200.0,2.84958E7,0.281769313372497,0.3034546143642221,0.28889710062535534,0.28407017876318613,0.30085275724843663,0.29134012731700815,2.622061145853073,ID4287,1.5831E7,900439,3166200,0.28439106815741266,ID4167,9.4986E7,892138,3166200,0.281769313372497,ID4955,7.28226E7,895874,3166200,0.2829492767355189,ID0420,4.11606E7,899423,3166200,0.28407017876318613,ID4529,8.86536E7,932526,3166200,0.29452529846503694,ID4618,9.4986E7,952560,3166200,0.30085275724843663,ID4163,4.11606E7,960798,3166200,0.3034546143642221,ID4493,1.5831E7,914706,3166200,0.28889710062535534,ID0937,9498600.0,953506,3166200,0.3011515381214074,,,,,,,,,,,,,,,,,,,,,,,,,
