type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1273080.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273080.0,8487200.0,6365400.0,4243600.0,8487200.0,6018196.363636363,6.620016E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,4667960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,6365400.0,0,424360,0.0,396,5092320.0,0,424360,0.0,441,4243600.0,0,424360,0.0,266,7638480.0,0,424360,0.0,332,8487200.0,0,424360,0.0,69,8062840.0,0,424360,0.0,224,8487200.0,0,424360,0.0,324,8487200.0,0,424360,0.0,81,1273080.0,0,424360,0.0,516,6365400.0,0,424360,0.0,270,1697440.0,0,424360,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,848720.0,8487200.0,3819240.0,2546160.0,6365400.0,4282178.181818182,4.710396E7,8132.0,11727.0,9271.0,8484.0,9773.0,9274.181818181818,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,4667960.0,0.019162974832689226,0.027634555566028843,0.021847016683947593,0.01999245923272693,0.023029974549910452,0.021854514605952065,0.24039966066547272,540,2970520.0,9298,424360,0.02191064190781412,2,848720.0,9773,424360,0.023029974549910452,442,5092320.0,9023,424360,0.021262607220284665,574,3819240.0,8731,424360,0.020574512206617022,322,3819240.0,8484,424360,0.01999245923272693,312,2546160.0,8132,424360,0.019162974832689226,434,1697440.0,9506,424360,0.022400791780563672,547,6365400.0,9829,424360,0.023161937977189177,602,3819240.0,9271,424360,0.021847016683947593,61,8487200.0,11727,424360,0.027634555566028843,381,7638480.0,8242,424360,0.01942218870770101
Role_2,424360.0,8487200.0,5516680.0,2121800.0,7638480.0,4860850.909090909,5.346936E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,4667960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,3819240.0,0,424360,0.0,530,5516680.0,0,424360,0.0,3,2970520.0,0,424360,0.0,612,6789760.0,0,424360,0.0,438,7638480.0,0,424360,0.0,526,7638480.0,0,424360,0.0,219,1697440.0,0,424360,0.0,272,2121800.0,0,424360,0.0,409,8487200.0,0,424360,0.0,471,6365400.0,0,424360,0.0,384,424360.0,0,424360,0.0
Role_3,848720.0,8487200.0,6789760.0,2970520.0,7638480.0,5632414.545454546,6.195656E7,65625.0,86049.0,77046.0,73444.0,82194.0,77450.27272727272,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,4667960.0,0.15464464134225658,0.20277358846262608,0.1815581110377981,0.17307003487604863,0.19368932038834952,0.1825107755850522,2.007618531435574,451,7638480.0,80549,424360,0.18981289471203694,23,2970520.0,73444,424360,0.17307003487604863,34,4243600.0,82113,424360,0.19349844471674993,35,7214120.0,75063,424360,0.1768851918182675,16,848720.0,70003,424360,0.1649613535677255,203,6789760.0,83207,424360,0.19607644452823075,27,8487200.0,65625,424360,0.15464464134225658,17,6789760.0,86049,424360,0.20277358846262608,29,6789760.0,76660,424360,0.18064850598548401,92,2546160.0,82194,424360,0.19368932038834952,20,7638480.0,77046,424360,0.1815581110377981
