type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_5,967867.0,1.935734E7,1.3550138E7,6775069.0,1.6453739E7,1.282423775E7,1.02593902E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,7742936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,27,1.3550138E7,0,967867,0.0,337,1.2582271E7,0,967867,0.0,170,1.8389473E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,1935734.0,1.8389473E7,8710803.0,5807202.0,1.8389473E7,1.11304705E7,8.9043764E7,88140.0,110703.0,97242.0,88239.0,102382.0,97795.75,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,7742936.0,0.09106623120738697,0.11437831850863807,0.10047041587325531,0.09116851798852528,0.105781062893972,0.10104255026775373,0.8083404021420298,264,8710803.0,88140,967867,0.09106623120738697,68,1.8389473E7,90691,967867,0.09370192392136523,16,1.8389473E7,101608,967867,0.10498136624143606,49,5807202.0,103361,967867,0.10679256550745092,70,5807202.0,102382,967867,0.105781062893972,53,1935734.0,88239,967867,0.09116851798852528,10,1.8389473E7,110703,967867,0.11437831850863807,76,1.1614404E7,97242,967867,0.10047041587325531
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,967867.0,1.5485872E7,5807202.0,1935734.0,8710803.0,7017035.75,5.6136286E7,10636.0,15857.0,12631.0,11434.0,13077.0,12836.5,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,7742936.0,0.010989113173607531,0.016383449378891933,0.01305034679351605,0.01181360662157094,0.01351115390854322,0.013262669354363772,0.10610135483491018,341,5807202.0,13483,967867,0.01393063303119127,166,1.3550138E7,15857,967867,0.016383449378891933,177,1.5485872E7,10636,967867,0.010989113173607531,167,967867.0,12962,967867,0.013392335930453254,2,1935734.0,12612,967867,0.01303071599713597,238,5807202.0,13077,967867,0.01351115390854322,19,3871468.0,12631,967867,0.01305034679351605,171,8710803.0,11434,967867,0.01181360662157094
Role_3,0.0,1.8389473E7,1.1614404E7,2903601.0,1.7421606E7,1.088850375E7,8.710803E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,7742936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,2903601.0,0,967867,0.0,23,1.5485872E7,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
