type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,7904160.0,7904160.0,7904160.0,7904160.0,7904160.0,7904160.0,1.580832E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,790416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,7904160.0,0,395208,0.0,617,7904160.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,2766456.0,3556872.0,2766456.0,2766456.0,3556872.0,3161664.0,6323328.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,790416.0,0.12793516325580453,0.13019726321329528,0.12793516325580453,0.12793516325580453,0.13019726321329528,0.12906621323454992,0.25813242646909984,322,3556872.0,50561,395208,0.12793516325580453,614,2766456.0,51455,395208,0.13019726321329528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_3,1185624.0,4742496.0,1185624.0,1185624.0,4742496.0,2964060.0,5928120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,790416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1185624.0,0,395208,0.0,615,4742496.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_4,1976040.0,6718536.0,3161664.0,2371248.0,6323328.0,4297887.0,3.4383096E7,97710.0,125426.0,114273.0,103179.0,115271.0,112035.625,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,3161664.0,0.24723689803850124,0.31736705734701726,0.28914647476771727,0.26107518066435903,0.29167172729296975,0.28348521538025545,2.2678817230420436,132,1976040.0,97710,395208,0.24723689803850124,143,2766456.0,103179,395208,0.26107518066435903,200,6323328.0,115031,395208,0.29106445213659643,201,6323328.0,115271,395208,0.29167172729296975,531,4742496.0,108106,395208,0.2735420335620736,171,2371248.0,125426,395208,0.31736705734701726,616,3161664.0,114273,395208,0.28914647476771727,580,6718536.0,117289,395208,0.29677789923280906
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
