type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload
Role_5,967867.0,1.935734E7,1.3550138E7,6775069.0,1.8389473E7,1.2142331454545455E7,1.33565646E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.0646537E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,1.6453739E7,0,967867,0.0,242,1.8389473E7,0,967867,0.0,245,1.4518005E7,0,967867,0.0,27,1.3550138E7,0,967867,0.0,313,8710803.0,0,967867,0.0,38,3871468.0,0,967867,0.0,337,1.2582271E7,0,967867,0.0,170,1.8389473E7,0,967867,0.0,162,967867.0,0,967867,0.0,142,6775069.0,0,967867,0.0,285,1.935734E7,0,967867,0.0
Role_6,1935734.0,1.8389473E7,1.1614404E7,5807202.0,1.8389473E7,1.1174464454545455E7,1.22919109E8,58096.0,83588.0,70126.0,64007.0,80590.0,71124.18181818182,782366.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.0646537E7,0.060024776131431284,0.08636310567464331,0.07245416983945108,0.06613202020525548,0.0832655726458284,0.0734854911038209,0.8083404021420298,264,8710803.0,65248,967867,0.06741422116881762,68,1.8389473E7,68800,967867,0.07108414689208331,16,1.8389473E7,58096,967867,0.060024776131431284,49,5807202.0,72654,967867,0.07506609895781136,70,5807202.0,80590,967867,0.0832655726458284,81,1935734.0,64007,967867,0.06613202020525548,71,1.6453739E7,62122,967867,0.06418443856438953,40,1.5485872E7,75127,967867,0.07762120208665034,53,1935734.0,83588,967867,0.08636310567464331,10,1.8389473E7,82008,967867,0.08473064997566815,76,1.1614404E7,70126,967867,0.07245416983945108
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,77415.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,0.0799851632507359,NOT_SET,0.0,77415,967867,0.0799851632507359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,967867.0,1.6453739E7,8710803.0,3871468.0,1.3550138E7,8358851.363636363,9.1947365E7,8212.0,10867.0,9288.0,8919.0,9860.0,9335.636363636364,102692.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.0646537E7,0.008484636835432968,0.011227782329596939,0.009596359830431247,0.009215109100733882,0.010187350121452637,0.00964557771226456,0.10610135483491016,275,1.6453739E7,9151,967867,0.009454811456532767,341,5807202.0,9983,967867,0.010314433698018426,166,1.3550138E7,8937,967867,0.009233706697304484,177,1.5485872E7,9288,967867,0.009596359830431247,167,967867.0,8212,967867,0.008484636835432968,2,1935734.0,9747,967867,0.010070598542981628,238,5807202.0,9374,967867,0.009685215014046351,19,3871468.0,10867,967867,0.011227782329596939,171,8710803.0,8354,967867,0.008631351208378837,183,8710803.0,8919,967867,0.009215109100733882,309,1.0646537E7,9860,967867,0.010187350121452637
Role_3,0.0,1.8389473E7,1.1614404E7,2903601.0,1.8389473E7,1.1174464454545455E7,1.22919109E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,1.0646537E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,2903601.0,0,967867,0.0,330,8710803.0,0,967867,0.0,188,1.8389473E7,0,967867,0.0,23,1.5485872E7,0,967867,0.0,156,1.1614404E7,0,967867,0.0,3,1.8389473E7,0,967867,0.0,28,1.8389473E7,0,967867,0.0,106,1.7421606E7,0,967867,0.0,315,8710803.0,0,967867,0.0,NOT_SET,0.0,0,967867,0.0,338,2903601.0,0,967867,0.0
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,967867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,967867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
