type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_13,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,1185624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1185624.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_6,5928120.0,7904160.0,5928120.0,5928120.0,7508952.0,6817338.0,2.7269352E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1580832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,5928120.0,0,395208,0.0,69,7508952.0,0,395208,0.0,224,7904160.0,0,395208,0.0,516,5928120.0,0,395208,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_1,790416.0,5928120.0,2371248.0,790416.0,2766456.0,2964060.0,1.185624E7,24322.0,26607.0,25348.0,24322.0,25739.0,25504.0,102016.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1580832.0,0.06154227647213619,0.06732404202344082,0.06413837776563228,0.06154227647213619,0.06512773020789053,0.06453310661727496,0.25813242646909984,540,2766456.0,24322,395208,0.06154227647213619,2,790416.0,25739,395208,0.06512773020789053,312,2371248.0,25348,395208,0.06413837776563228,547,5928120.0,26607,395208,0.06732404202344082
Role_2,395208.0,7113744.0,2766456.0,395208.0,5137704.0,3853278.0,1.5413112E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1580832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5137704.0,0,395208,0.0,3,2766456.0,0,395208,0.0,438,7113744.0,0,395208,0.0,384,395208.0,0,395208,0.0
Role_3,790416.0,7904160.0,2766456.0,790416.0,6323328.0,4446090.0,1.778436E7,209103.0,238275.0,212952.0,209103.0,235955.0,224071.25,896285.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,1580832.0,0.5290960709297383,0.6029103661869193,0.538835246250076,0.5290960709297383,0.5970400396753102,0.5669704307605109,2.2678817230420436,23,2766456.0,238275,395208,0.6029103661869193,16,790416.0,209103,395208,0.5290960709297383,203,6323328.0,235955,395208,0.5970400396753102,27,7904160.0,212952,395208,0.538835246250076
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,395208,0.0,,,,,,,,,,,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,395208.0,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,0.190535110625291,NOT_SET,0.0,75301,395208,0.190535110625291,,,,,,,,,,,,,,,
