type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload
Role_10,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,135168.0,135168.0,135168.0,135168.0,135168.0,135168.0,135168.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.0028787429216633837,0.0028787429216633837,0.0028787429216633837,0.0028787429216633837,0.0028787429216633837,0.0028787429216633837,0.0028787429216633837,ID0998,3.28676796E8,135168,46953828,0.0028787429216633837
Role_11,3.75630624E8,3.75630624E8,3.75630624E8,3.75630624E8,3.75630624E8,3.75630624E8,3.75630624E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4528,3.75630624E8,0,46953828,0.0
Role_22,4.6953828E8,4.6953828E8,4.6953828E8,4.6953828E8,4.6953828E8,4.6953828E8,4.6953828E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4890,4.6953828E8,0,46953828,0.0
Role_17,5.16492108E8,5.16492108E8,5.16492108E8,5.16492108E8,5.16492108E8,5.16492108E8,5.16492108E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4219,5.16492108E8,0,46953828,0.0
Role_15,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4162,9.3907656E7,0,46953828,0.0
Role_9,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,3.28676796E8,993588.0,993588.0,993588.0,993588.0,993588.0,993588.0,993588.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.021160958378090067,0.021160958378090067,0.021160958378090067,0.021160958378090067,0.021160958378090067,0.021160958378090067,0.021160958378090067,ID0998,3.28676796E8,993588,46953828,0.021160958378090067
Role_5,6.10399764E8,6.10399764E8,6.10399764E8,6.10399764E8,6.10399764E8,6.10399764E8,6.10399764E8,4948462.0,4948462.0,4948462.0,4948462.0,4948462.0,4948462.0,4948462.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.10538995883360139,0.10538995883360139,0.10538995883360139,0.10538995883360139,0.10538995883360139,0.10538995883360139,0.10538995883360139,ID4163,6.10399764E8,4948462,46953828,0.10538995883360139
Role_6,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,9.3907656E7,993600.0,993600.0,993600.0,993600.0,993600.0,993600.0,993600.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.021161213948306834,0.021161213948306834,0.021161213948306834,0.021161213948306834,0.021161213948306834,0.021161213948306834,0.021161213948306834,ID4820,9.3907656E7,993600,46953828,0.021161213948306834
Role_7,1.267753356E9,1.267753356E9,1.267753356E9,1.267753356E9,1.267753356E9,1.267753356E9,1.267753356E9,1971829.0,1971829.0,1971829.0,1971829.0,1971829.0,1971829.0,1971829.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.04199506374645322,0.04199506374645322,0.04199506374645322,0.04199506374645322,0.04199506374645322,0.04199506374645322,0.04199506374645322,ID4385,1.267753356E9,1971829,46953828,0.04199506374645322
Role_8,1.40861484E9,1.40861484E9,1.40861484E9,1.40861484E9,1.40861484E9,1.40861484E9,1.40861484E9,8363666.0,8363666.0,8363666.0,8363666.0,8363666.0,8363666.0,8363666.0,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,4.6953828E7,0.1781253277155592,0.1781253277155592,0.1781253277155592,0.1781253277155592,0.1781253277155592,0.1781253277155592,0.1781253277155592,ID4618,1.40861484E9,8363666,46953828,0.1781253277155592
