type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,8487200.0,1.69744E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,8487200.0,0,424360,0.0,617,8487200.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,0.1774460363842021,NOT_SET,0.0,75301,424360,0.1774460363842021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_2,2970520.0,3819240.0,2970520.0,2970520.0,3819240.0,3394880.0,6789760.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.11914647940427939,0.12125318126119333,0.11914647940427939,0.11914647940427939,0.12125318126119333,0.12019983033273636,0.24039966066547272,322,3819240.0,50561,424360,0.11914647940427939,614,2970520.0,51455,424360,0.12125318126119333,,,,,,,,,,,,,,,,,,,,,,,,,
Role_3,1273080.0,5092320.0,1273080.0,1273080.0,5092320.0,3182700.0,6365400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,848720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,1273080.0,0,424360,0.0,615,5092320.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_4,2121800.0,7214120.0,5092320.0,2970520.0,6789760.0,4910451.428571428,3.437316E7,114179.0,132182.0,120483.0,118336.0,124616.0,121707.57142857143,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2970520.0,0.26906164577245734,0.3114855311527948,0.28391695730040534,0.2788575737581299,0.2936563295315298,0.2868026473479391,2.0076185314355737,132,2121800.0,122844,424360,0.2894806296540673,143,2970520.0,118336,424360,0.2788575737581299,200,6789760.0,114179,424360,0.26906164577245734,201,6789760.0,120483,424360,0.28391695730040534,531,5092320.0,132182,424360,0.3114855311527948,616,3394880.0,124616,424360,0.2936563295315298,580,7214120.0,119313,424360,0.2811598642661891
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
