type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload
Role_10,7.7572215E7,2.4379839E8,8.865396E7,7.7572215E7,9.9735705E7,1.274400675E8,5.0976027E8,29352.0,39060.0,32470.0,29352.0,34286.0,33792.0,135168.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.0026486803296773206,0.0035247156472198197,0.002930043959683245,0.0026486803296773206,0.003093917068115175,0.0030493392511738897,0.012197357004695559,ID4882,9.9735705E7,34286,11081745,0.003093917068115175,ID4872,2.4379839E8,29352,11081745,0.0026486803296773206,ID0998,7.7572215E7,32470,11081745,0.002930043959683245,ID4528,8.865396E7,39060,11081745,0.0035247156472198197
Role_11,8.865396E7,2.4379839E8,9.9735705E7,8.865396E7,1.7730792E8,1.5237399375E8,6.09495975E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,9.9735705E7,0,11081745,0.0,ID4355,1.7730792E8,0,11081745,0.0,ID4872,2.4379839E8,0,11081745,0.0,ID4528,8.865396E7,0,11081745,0.0
Role_22,2.32716645E8,2.32716645E8,2.32716645E8,2.32716645E8,2.32716645E8,2.32716645E8,2.32716645E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,2.32716645E8,0,11081745,0.0,,,,,,,,,,,,,,,
Role_17,1.21899195E8,2.8812537E8,1.9947141E8,1.21899195E8,2.32716645E8,2.10553155E8,8.4221262E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID0997,2.32716645E8,0,11081745,0.0,ID4799,1.9947141E8,0,11081745,0.0,ID4219,1.21899195E8,0,11081745,0.0,ID3846,2.8812537E8,0,11081745,0.0
Role_15,2.216349E7,2.77043625E8,4.432698E7,2.216349E7,1.1081745E8,1.1358788625E8,4.54351545E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4873,2.77043625E8,0,11081745,0.0,ID4326,1.1081745E8,0,11081745,0.0,ID4140,4.432698E7,0,11081745,0.0,ID4162,2.216349E7,0,11081745,0.0
Role_9,7.7572215E7,2.4379839E8,8.865396E7,7.7572215E7,9.9735705E7,1.274400675E8,5.0976027E8,221206.0,271809.0,234812.0,221206.0,256653.0,246120.0,984480.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.019961296709137415,0.02452763531375248,0.021189081683435234,0.019961296709137415,0.023159980670914192,0.02220949859430983,0.08883799437723933,ID4882,9.9735705E7,221206,11081745,0.019961296709137415,ID4872,2.4379839E8,271809,11081745,0.02452763531375248,ID0998,7.7572215E7,256653,11081745,0.023159980670914192,ID4528,8.865396E7,234812,11081745,0.021189081683435234
Role_5,5.5408725E7,3.3245235E8,5.5408725E7,5.5408725E7,1.44062685E8,1.4683312125E8,5.87332485E8,1189642.0,1267344.0,1232805.0,1189642.0,1258671.0,1237115.5,4948462.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.10735150465923914,0.11436321626242077,0.11124646885485995,0.10735150465923914,0.11358057778806496,0.11163544189114621,0.44654176756458486,ID4287,5.5408725E7,1189642,11081745,0.10735150465923914,ID4618,3.3245235E8,1267344,11081745,0.11436321626242077,ID4163,1.44062685E8,1232805,11081745,0.11124646885485995,ID4493,5.5408725E7,1258671,11081745,0.11358057778806496
Role_6,2.216349E7,3.1028886E8,5.5408725E7,2.216349E7,2.4379839E8,1.5791486625E8,6.31659465E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.02241524236480807,0.02241524236480807,0.02241524236480807,0.02241524236480807,0.02241524236480807,0.02241524236480807,0.08966096945923228,ID4820,2.216349E7,248400,11081745,0.02241524236480807,ID4291,2.4379839E8,248400,11081745,0.02241524236480807,ID4491,3.1028886E8,248400,11081745,0.02241524236480807,ID4493,5.5408725E7,248400,11081745,0.02241524236480807
Role_7,8.865396E7,2.99207115E8,9.9735705E7,8.865396E7,1.7730792E8,1.66226175E8,6.649047E8,462325.0,495627.0,480193.0,462325.0,489757.0,481975.5,1927902.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.04171951258578861,0.04472463497400454,0.0433318940293248,0.04171951258578861,0.04419493500346741,0.04349274414814634,0.17397097659258537,ID4355,1.7730792E8,495627,11081745,0.04472463497400454,ID4445,9.9735705E7,480193,11081745,0.0433318940293248,ID4528,8.865396E7,462325,11081745,0.04171951258578861,ID4385,2.99207115E8,489757,11081745,0.04419493500346741
Role_8,5.5408725E7,3.3245235E8,5.5408725E7,5.5408725E7,1.44062685E8,1.4683312125E8,5.87332485E8,2114268.0,2190157.0,2125237.0,2114268.0,2186811.0,2154118.25,8616473.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.19078836410691638,0.19763647331715356,0.19177819016770373,0.19078836410691638,0.19733453531009781,0.19438439072546787,0.7775375629018715,ID4287,5.5408725E7,2190157,11081745,0.19763647331715356,ID4618,3.3245235E8,2186811,11081745,0.19733453531009781,ID4163,1.44062685E8,2114268,11081745,0.19078836410691638,ID4493,5.5408725E7,2125237,11081745,0.19177819016770373
Role_2,8.865396E7,3.1028886E8,2.216349E8,8.865396E7,2.77043625E8,2.2440533625E8,8.97621345E8,1.2244173E7,1.2314475E7,1.2303503E7,1.2244173E7,1.2306564E7,1.229217875E7,4.9168715E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,1.104895754233652,1.1112397009676724,1.1102496041913976,1.104895754233652,1.1105258242271412,1.1092277209049657,4.436910883619863,ID4794,2.216349E8,12306564,11081745,1.1105258242271412,ID4932,8.865396E7,12244173,11081745,1.104895754233652,ID4429,2.77043625E8,12314475,11081745,1.1112397009676724,ID4529,3.1028886E8,12303503,11081745,1.1102496041913976
Role_3,3.3245235E7,3.3245235E8,5.5408725E7,3.3245235E7,5.5408725E7,1.1912875875E8,4.76515035E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,5.5408725E7,0,11081745,0.0,ID4618,3.3245235E8,0,11081745,0.0,ID4493,5.5408725E7,0,11081745,0.0,ID0937,3.3245235E7,0,11081745,0.0
Role_4,7.7572215E7,2.4379839E8,9.9735705E7,7.7572215E7,9.9735705E7,1.3021050375E8,5.20842015E8,111710.0,119155.0,115146.0,111710.0,115388.0,115349.75,461399.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,4.432698E7,0.010080542369455351,0.010752367970928767,0.01039060184113603,0.010080542369455351,0.01041243955712751,0.010408987934661915,0.04163595173864766,ID4882,9.9735705E7,111710,11081745,0.010080542369455351,ID4872,2.4379839E8,115388,11081745,0.01041243955712751,ID4445,9.9735705E7,119155,11081745,0.010752367970928767,ID0998,7.7572215E7,115146,11081745,0.01039060184113603
Role_19,1.7730792E8,1.7730792E8,1.7730792E8,1.7730792E8,1.7730792E8,1.7730792E8,1.7730792E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,1.1081745E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID3641,1.7730792E8,0,11081745,0.0,,,,,,,,,,,,,,,
