type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload
Role_10,5769582.0,2.472678E7,1.0714938E7,6593808.0,2.472678E7,1.4011842E7,9.8082894E7,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,5769582.0,0.01618852110950152,0.02953922831844664,0.0242943076292182,0.019455828862472185,0.026129969207474648,0.0234276937220062,0.1639938560540434,ID4882,7418034.0,24347,824226,0.02953922831844664,ID4872,1.8132972E7,21537,824226,0.026129969207474648,ID0998,5769582.0,21189,824226,0.025707754911880966,ID4528,6593808.0,16036,824226,0.019455828862472185,ID0420,1.0714938E7,20024,824226,0.0242943076292182,ID3716,2.472678E7,18692,824226,0.02267824601504927,ID4618,2.472678E7,13343,824226,0.01618852110950152,,,,,,,,,,,,,,,,,,,,
Role_11,5769582.0,2.2254102E7,7418034.0,6593808.0,1.8132972E7,1.2226019E7,7.3356114E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,4945356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,7418034.0,0,824226,0.0,ID4355,1.3187616E7,0,824226,0.0,ID4872,1.8132972E7,0,824226,0.0,ID0998,5769582.0,0,824226,0.0,ID4528,6593808.0,0,824226,0.0,ID4385,2.2254102E7,0,824226,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_22,1.7308746E7,1.7308746E7,1.7308746E7,1.7308746E7,1.7308746E7,1.7308746E7,1.7308746E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,1.7308746E7,0,824226,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,6593808.0,2.472678E7,1.7308746E7,1.3187616E7,2.060565E7,1.6559449636363637E7,1.82153946E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,9066486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4167,2.472678E7,0,824226,0.0,ID4794,1.648452E7,0,824226,0.0,ID4641,2.060565E7,0,824226,0.0,ID0997,1.7308746E7,0,824226,0.0,ID4622,1.3187616E7,0,824226,0.0,ID4799,1.4836068E7,0,824226,0.0,ID4932,6593808.0,0,824226,0.0,ID4219,9066486.0,0,824226,0.0,ID3846,2.1429876E7,0,824226,0.0,ID4429,2.060565E7,0,824226,0.0,ID4132,1.7308746E7,0,824226,0.0
Role_15,1648452.0,2.060565E7,4121130.0,2472678.0,1.7308746E7,8242260.0,5.769582E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,5769582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,4121130.0,0,824226,0.0,ID4873,2.060565E7,0,824226,0.0,ID0997,1.7308746E7,0,824226,0.0,ID4326,8242260.0,0,824226,0.0,ID4140,3296904.0,0,824226,0.0,ID4162,1648452.0,0,824226,0.0,ID0937,2472678.0,0,824226,0.0,,,,,,,,,,,,,,,,,,,,
Role_9,2472678.0,1.8132972E7,7418034.0,5769582.0,1.1539164E7,8916626.727272727,9.8082894E7,69522.0,122057.0,88214.0,73918.0,99708.0,90326.18181818182,993588.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,9066486.0,0.0843482248800693,0.14808681114160435,0.10702647089511858,0.08968171351061481,0.12097167524441112,0.10958909548859391,1.205480050374533,ID4287,4121130.0,81808,824226,0.09925433072967851,ID4882,7418034.0,111908,824226,0.135773440779592,ID4355,1.3187616E7,73918,824226,0.08968171351061481,ID4872,1.8132972E7,122057,824226,0.14808681114160435,ID4445,7418034.0,88214,824226,0.10702647089511858,ID0998,5769582.0,69522,824226,0.0843482248800693,ID4528,6593808.0,98987,824226,0.12009691516647134,ID0420,1.0714938E7,99708,824226,0.12097167524441112,ID4163,1.0714938E7,84288,824226,0.10226321421551855,ID4718,1.1539164E7,92636,824226,0.1123915042718866,ID0937,2472678.0,70542,824226,0.08558574953956803
Role_5,2472678.0,2.472678E7,4121130.0,4121130.0,1.0714938E7,9231331.2,4.6156656E7,951062.0,1063036.0,978044.0,975124.0,981196.0,989692.4,4948462.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,4121130.0,1.1538849781491969,1.2897384940538152,1.1866211451713486,1.183078427518666,1.1904453390210938,1.200753676782824,6.00376838391412,ID4287,4121130.0,975124,824226,1.183078427518666,ID4618,2.472678E7,1063036,824226,1.2897384940538152,ID4163,1.0714938E7,981196,824226,1.1904453390210938,ID4493,4121130.0,951062,824226,1.1538849781491969,ID0937,2472678.0,978044,824226,1.1866211451713486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1648452.0,2.3078328E7,4121130.0,1648452.0,1.8132972E7,1.17452205E7,4.6980882E7,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,3296904.0,0.3013736523720436,0.3013736523720436,0.3013736523720436,0.3013736523720436,0.3013736523720436,0.3013736523720436,1.2054946094881744,ID4820,1648452.0,248400,824226,0.3013736523720436,ID4291,1.8132972E7,248400,824226,0.3013736523720436,ID4491,2.3078328E7,248400,824226,0.3013736523720436,ID4493,4121130.0,248400,824226,0.3013736523720436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,4121130.0,2.472678E7,1.0714938E7,6593808.0,1.8132972E7,1.2438319636363637E7,1.36821516E8,146161.0,218721.0,169020.0,163369.0,201816.0,179257.18181818182,1971829.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,9066486.0,0.1773312174088175,0.2653653245590408,0.2050651156357601,0.19820898637024312,0.24485517321705455,0.21748547342377195,2.3923402076614915,ID4287,4121130.0,184546,824226,0.22390218216848293,ID4355,1.3187616E7,218721,824226,0.2653653245590408,ID4872,1.8132972E7,169020,824226,0.2050651156357601,ID4445,7418034.0,146161,824226,0.1773312174088175,ID4160,1.4836068E7,216250,824226,0.26236736040843167,ID4528,6593808.0,183112,824226,0.22216236808836412,ID0420,1.0714938E7,168734,824226,0.2047181234273124,ID4618,2.472678E7,166968,824226,0.20257550720312148,ID4163,1.0714938E7,201816,824226,0.24485517321705455,ID4493,4121130.0,163369,824226,0.19820898637024312,ID4385,2.2254102E7,153132,824226,0.18578884917486224
Role_8,2472678.0,2.472678E7,1.0714938E7,4121130.0,2.3078328E7,1.37371E7,1.236339E8,887576.0,976799.0,930741.0,918085.0,942084.0,929296.2222222222,8363666.0,824226.0,824226.0,824226.0,824226.0,824226.0,824226.0,7418034.0,1.076859987430632,1.1851106371310782,1.12923033245736,1.113875320603815,1.142992334626668,1.1274774421362856,10.14729697922657,ID4287,4121130.0,887576,824226,1.076859987430632,ID4167,2.472678E7,930741,824226,1.12923033245736,ID4955,1.8957198E7,893436,824226,1.083969687925399,ID0420,1.0714938E7,935573,824226,1.1350928022168678,ID4529,2.3078328E7,942084,824226,1.142992334626668,ID4618,2.472678E7,925410,824226,1.122762446222274,ID4163,1.0714938E7,976799,824226,1.1851106371310782,ID4493,4121130.0,953962,824226,1.1574034306124776,ID0937,2472678.0,918085,824226,1.113875320603815,,,,,,,,,,
