type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_13,1322472.0,1322472.0,1322472.0,1322472.0,1322472.0,1322472.0,1322472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1322472.0,0,440824,0.0,,,,,
Role_6,8375656.0,8816480.0,8375656.0,8375656.0,8816480.0,8596068.0,1.7192136E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,881648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,8375656.0,0,440824,0.0,224,8816480.0,0,440824,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_1,881648.0,2644944.0,881648.0,881648.0,2644944.0,1763296.0,3526592.0,50561.0,51455.0,50561.0,50561.0,51455.0,51008.0,102016.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,881648.0,0.11469656824492315,0.11672458849790393,0.11469656824492315,0.11469656824492315,0.11672458849790393,0.11571057837141355,0.2314211567428271,2,881648.0,50561,440824,0.11469656824492315,312,2644944.0,51455,440824,0.11672458849790393
Role_2,3085768.0,7934832.0,3085768.0,3085768.0,7934832.0,5510300.0,1.10206E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,881648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3085768.0,0,440824,0.0,438,7934832.0,0,440824,0.0
Role_3,3085768.0,8816480.0,3085768.0,3085768.0,8816480.0,5951124.0,1.1902248E7,424940.0,427013.0,424940.0,424940.0,427013.0,425976.5,851953.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,881648.0,0.9639674790846233,0.9686700361141861,0.9639674790846233,0.9639674790846233,0.9686700361141861,0.9663187575994048,1.9326375151988096,23,3085768.0,424940,440824,0.9639674790846233,27,8816480.0,427013,440824,0.9686700361141861
Role_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,440824,0.0,,,,,
Role_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,75301.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,440824.0,0.1708187394515725,0.1708187394515725,0.1708187394515725,0.1708187394515725,0.1708187394515725,0.1708187394515725,0.1708187394515725,NOT_SET,0.0,75301,440824,0.1708187394515725,,,,,
