type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload
Role_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,1273080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1273080.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,1273080.0,8487200.0,6365400.0,1697440.0,8487200.0,5819794.285714285,4.073856E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2970520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,6365400.0,0,424360,0.0,332,8487200.0,0,424360,0.0,69,8062840.0,0,424360,0.0,224,8487200.0,0,424360,0.0,81,1273080.0,0,424360,0.0,516,6365400.0,0,424360,0.0,270,1697440.0,0,424360,0.0
Role_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_SET,0.0,0,424360,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,848720.0,6365400.0,2970520.0,1697440.0,3819240.0,3152388.5714285714,2.206672E7,12665.0,17422.0,14508.0,13076.0,15828.0,14573.714285714286,102016.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2970520.0,0.029844942972947496,0.04105476482232067,0.03418795362428127,0.03081346026958243,0.03729852012442266,0.034342808666496104,0.24039966066547272,540,2970520.0,14508,424360,0.03418795362428127,2,848720.0,13076,424360,0.03081346026958243,574,3819240.0,12665,424360,0.029844942972947496,322,3819240.0,17422,424360,0.04105476482232067,312,2546160.0,15828,424360,0.03729852012442266,434,1697440.0,13532,424360,0.03188801960599491,547,6365400.0,14985,424360,0.03531199924592327
Role_2,424360.0,7638480.0,2970520.0,1697440.0,7638480.0,4001108.5714285714,2.800776E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2970520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,5516680.0,0,424360,0.0,3,2970520.0,0,424360,0.0,438,7638480.0,0,424360,0.0,526,7638480.0,0,424360,0.0,219,1697440.0,0,424360,0.0,272,2121800.0,0,424360,0.0,384,424360.0,0,424360,0.0
Role_3,848720.0,8487200.0,6789760.0,2970520.0,7638480.0,5880417.142857143,4.116292E7,116836.0,127509.0,121412.0,118510.0,124743.0,121707.57142857143,851953.0,424360.0,424360.0,424360.0,424360.0,424360.0,424360.0,2970520.0,0.27532283909887834,0.3004736544443397,0.2861061362993685,0.2792676029786031,0.2939556037326798,0.2868026473479391,2.0076185314355737,451,7638480.0,124743,424360,0.2939556037326798,23,2970520.0,116836,424360,0.27532283909887834,16,848720.0,121412,424360,0.2861061362993685,203,6789760.0,122848,424360,0.28949005561315866,27,8487200.0,120095,424360,0.2830026392685456,29,6789760.0,118510,424360,0.2792676029786031,20,7638480.0,127509,424360,0.3004736544443397
